lambda_1,lambda_2,lambda_3,perplexity
0.9701,0.015,0.0149,13.022171306022948
0.9701,0.0151,0.0148,13.062956986947215
0.9701,0.0152,0.0147,13.104086188588733
0.9701,0.0153,0.0146,13.144970601987492
0.9701,0.0154,0.0145,13.185835768588873
0.9701,0.0155,0.0144,13.226735328091147
0.9701,0.0156,0.0143,13.26759487113474
0.9701,0.0157,0.0142,13.30815082741651
0.9701,0.0158,0.0141,13.348957526410674
0.9701,0.0159,0.014,13.389802291717551
0.9701,0.016,0.0139,13.430161476724015
0.9701,0.0161,0.0138,13.470948678454537
0.9701,0.0162,0.0137,13.511350004783163
0.9701,0.0163,0.0136,13.5520241282893
0.9701,0.0164,0.0135,13.592522841876841
0.9701,0.0165,0.0134,13.632827459465156
0.9701,0.0166,0.0133,13.673146344907192
0.9701,0.0167,0.0132,13.713772525410954
0.9701,0.0168,0.0131,13.753915503863134
0.9701,0.0169,0.013,13.794160110054321
0.9701,0.017,0.0129,13.834552145081146
0.9701,0.0171,0.0128,13.87457686197528
0.9701,0.0172,0.0127,13.91479721960151
0.9701,0.0173,0.0126,13.954883595366642
0.9701,0.0174,0.0125,13.995186015949509
0.9701,0.0175,0.0124,14.035168335529294
0.9701,0.0176,0.0123,14.074852736439329
0.9701,0.0177,0.0122,14.115096778594628
0.9701,0.0178,0.0121,14.155112448535183
0.9701,0.0179,0.012,14.194934831494388
0.9701,0.018,0.0119,14.234656291141382
0.9701,0.0181,0.0118,14.274602160432504
0.9701,0.0182,0.0117,14.314476254080875
0.9701,0.0183,0.0116,14.354191175694345
0.9701,0.0184,0.0115,14.39390572459408
0.9701,0.0185,0.0114,14.433444420441411
0.9701,0.0186,0.0113,14.473227793580774
0.9701,0.0187,0.0112,14.512840352530972
0.9701,0.0188,0.0111,14.552454376162668
0.9701,0.0189,0.011,14.59195357343403
0.9701,0.019,0.0109,14.631602724526806
0.9701,0.0191,0.0108,14.671078578996905
0.9701,0.0192,0.0107,14.710454531429855
0.9701,0.0193,0.0106,14.749905231953349
0.9701,0.0194,0.0105,14.78927422273896
0.9701,0.0195,0.0104,14.828629693108956
0.9701,0.0196,0.0103,14.867922219297338
0.9701,0.0197,0.0102,14.907172692851868
0.9701,0.0198,0.0101,14.946334535826468
0.9701,0.0199,0.01,14.98559218850845
0.9701,0.02,0.0099,15.024932338289068
0.9701,0.0201,0.0098,15.064045908049579
0.9701,0.0202,0.0097,15.103461437193703
0.9701,0.0203,0.0096,15.142516682798984
0.9701,0.0204,0.0095,15.181591785053355
0.9701,0.0205,0.0094,15.220531117140256
0.9701,0.0206,0.0093,15.259508047897713
0.9701,0.0207,0.0092,15.298376397668184
0.9701,0.0208,0.0091,15.3375818798597
0.9701,0.0209,0.009,15.376455817256781
0.9701,0.021,0.0089,15.415100753984547
0.9701,0.0211,0.0088,15.454153264738707
